,name,country,sector,founded,marketcap,revenue,employees,website,ceo
16950,MALIN CORP PLC,IRELAND,,,,,255,,MR DARRAGH FERGAL LYONS
16951,MALION NEW MATERIALS,CHINA,,,981000000,,,HTTP://EN.MALION.CN/,
16952,MALLADI DRUGS PHARMACEUTICALS,INDIA,PHARMA,1980,120000000,8735000000,3000,WWW.MALLINCKRODT.COM,
16953,MALLCOM,INDIA,BPO,1983,,,,,
16954,MALLPLAZA,CHILE,REAL ESTATE,,2130000000,,,,
16955,MALLS BRASIL FUNDO INVESTIMENTO IMOBILIARIO,,,,,,,,
16956,MALPANI GROUP,INDIA,POWER,1894,4300000000,1481000,1456,HTTPS://WWW.MAN.COM/,MR LUKE ELLIS
16957,MALTAPOST,MARSA,DELIVERY SERVICES,1998,,,,,
16958,MALTERIES FRANCO BELGES,FRANCE,,,,,103,,MR GUILLAUME COUTURE
16959,MAMA,NETHERLANDS,INSTANT NOODLES,2011,,,,,
16960,MAMA SITA S HOLDING COMPANY,SAN JUAN,FOOD PROCESSING,1980,,,,,
16961,MAMAEARTH,INDIA,E COMMERCE DIRECT TO CONSUMER,2016,,,175,,
16962,MAMAN CARGO TERMINALS HANDLING LTD,ISRAEL,,,,,2120,,MR BOAZ TZAFRIR
16963,MAMEE DOUBLE DECKER,MALACCA,FOOD PROCESSING SNACK DAIRY PRODUCTS,1971,,,,,
16964,MAMMA 2 0,ITALY,ECOMMERCE,2014,,7,19,HTTPS://IT.MUKAKO.COM/,
16965,MAMMOTH BIOSCIENCES,UNITED STATES,HEALTH,,,,,,
16966,MAMMOTH ENERGY SERVICES,USA,,,330000000,,,,
16967,MAMTA HEALTH INSTITUTE FOR MOTHER AND CHILD,INDIA,HEALTHCARE,1990,,,297,,
16968,MAMY POKO,,DIAPER,,,,,,
16969,MAN,MUNICH,COMMERCIAL VEHICLES TRUCKS,1758,,,,,
16970,MAN BUILDINGS,ITALY,CONSTRUCTION,2001,7691000000,7,8,HTTPS://WWW.MANBUILDINGS.COM,
16971,MAN ENERGY SOLUTIONS,GERMANY,INDUSTRIAL MACHINERY,2010,,,38486,,DR ANDREAS TOSTMANN
16972,MAN GROUP CAREERS,LONDON,INVESTMENT MANAGEMENT,1783,,,3000,WWW.MAN.COM,
16973,MAN INDUSTRIES,INDIA,BUILDING MATERIAL,1988,1880000000,505000000,279,,MR CHANDRAGUPT PRAKASH V MANGAL
16974,MAN INFRACONSTRUCTION,INDIA,REAL ESTATE,1964,,,,,
16975,MAN KING HOLDINGS LTD,HONG KONG,,,2420000000,,147,,MR YUEN CHEONG LO
16976,MAN OF MANY,AUSTRALIA,MEDIA,2012,,1,9,HTTPS://MANOFMANY.COM/,
16977,MAN TRUCK BUS,GERMANY,AUTOMOBILE,1758,,,,,
16978,MANAGEMENT SOLUTIONS CO LTD,JAPAN,,,,,490,,SHINYA TAKAHASHI
16979,MANALI PETROCHEMICALS,INDIA,CHEMICALS,1986,,,,,
16980,MANANG,FRANCE,CONSTRUCTION,2012,,6205559,40,,
16981,MANAPPURAM FINANCE,INDIA,FICIAL SERVICES,1949,,505000000,,HTTPS://WWW.MANAPPURAM.COM/,
16982,MANAV RACHNA INTERNATIONAL SCHOOL,INDIA,EDUCATION TRAINING,1997,,,,,
16983,MANCHESTER LONDON INVESTMENT TRUST PLC,,,,,,,,
16984,MANCHESTER UNITED,UNITED KINGDOM,FOOTBALL,1878,3750000000,582000000,1184,HTTPS://WWW.MANUTD.COM/,MR RICHARD ARNOLD
16985,MANCUSIMMOBILIARE S R L,ITALY,COSTRUZIONI IMPIANTISTICA,,,,5132,,
16986,MANDALAY RESOURCES CORPORATION,CANADA,,,,,,,MR DOMINIC DUFFY
16987,MANDARIN HOTEL PUBLIC COMPANY LTD,THAILAND,,,,,,,
16988,MANDARIN ORIENTAL,HONG KONG,HOTELS TRAVEL,,2400000000,,13000,,
16989,MANDARINA DUCK,BOLOGNA,CLOTHING ACCESSORIES,1977,,,,,
16990,MANDO AUTOMOTIVE,INDIA,AUTO COMPONENTS,2006,120000000,8735000,,HTTPS://WWW.MRPL.CO.IN/,
16991,MANDO CORP,SOUTH KOREA,PHARMACEUTICALS BIOTECH,1962,2585000000,0,4063,HTTPS://WWW.MANDO.COM/ENG/INDEX.JSP?SC_PC=Y,MR MONG WON CHUNG
16992,MANDRIVA,PARIS,SOFTWARE,1995,,,,,
16993,MANEBI,JAPAN,EDUCATION,2013,,2,30,HTTPS://MANEBI.CO.JP/,
16994,MANELLI IMPRESA,ITALY,CONSTRUCTION,2008,,25354503,101,HTTPS://WWW.MANELLI.EU,
16995,MANFROTTO,CASSOLA,RECREATIONAL PRODUCTS,1972,,,,,
16996,MANGALAM CEMENT,INDIA,BUILDING MATERIAL,1976,100000000,,,,
16997,MANGALIA SHIPYARD,MANGALIA,COMMERCIAL VEHICLES TRUCKS,1997,,,,,
16998,MANGALORE CHEMICALS AND FERTILIZERS,INDIA,CHEMICALS FERTILIZER,1974,120000000,,,,
16999,MANGALORE REFINERY AND PETROCHEMICALS,INDIA,OIL GAS,1988,,,,,
17000,MANGO EXCELLENT MEDIA,CHINA,,2005,16096000000,2234000,4471,HTTPS://WWW.HAPPIGO.COM/,
17001,MANGOLD AB,SWEDEN,,,,,82,,MR PER ANDERS TAMMERLOV
17002,MANHATTAN ASSOCIATES,USA,IT SERVICES CONSULTING,1990,7400000000,740000000,36,HTTPS://WWW.MANH.COM,MR EDDIE CAPEL
17003,MANHATTAN RESOURCES LTD,SINGAPORE,,,,,,,MR YI NGO LOW B SC
17004,MANI GROUP,INDIA,REAL ESTATE,1953,,,,,
17005,MANI INC,JAPAN,TECHNOLOGY,2006,1993000000,125000000,320,HTTP://WWW.MANI.CO.JP/EN/,
17006,MANIKA MOULDS,INDIA,PETROCHEMICALS,1996,,,,,
17007,MANIKARAN POWER,INDIA,POWER,2005,,,,,
17008,MANIPAL BUSINESS SOLUTIONS,,,,,,,,
17009,MANIPAL GLOBAL EDUCATION SERVICES,INDIA,EDUCATION TRAINING,2001,,,,,
17010,MANIPAL HEALTHMAP,INDIA,HEALTHCARE,2015,,,,,
17011,MANIPAL TECHNOLOGIES,INDIA,PRINTING PUBLISHING,1941,,,,,
17012,MANIPALCIGNA HEALTH INSURANCE,INDIA,INSURANCE,2012,,,,,
17013,MANITECH,ITALY,INDUSTRIAL GOODS,2016,,3834910,6,HTTPS://WWW.MANITECH.IT/,
17014,MANITECH S R L,ITALY,PRODOTTI INDUSTRIALI,,,,3835,,
17015,MANITOU BF SA,FRANCE,E COMMERCE DIRECT TO CONSUMER,2013,1324000000,1873000,4500,HTTPS://WWW.MANITOU-GROUP.COM/EN/,MR MICHEL DENIS
17016,MANJUSHREE TECHNOPACK,INDIA,PACKAGING,1983,,,,,
17017,MANKIND PHARMA,INDIA,PHARMA,1995,,,262,,
17018,MANN AND HUMMEL FILTER,GERMANY,INDUSTRIAL MACHINERY,1942,,,,,
17019,MANN HUMMEL GMBH,LUDWIGSBURG,INDUSTRIAL MANUFACTURING,1941,,4589,20535,WWW.MANN-HUMMEL.DE,
17020,MANN HUMMEL VOKES AIR LIMITED,UNITED KINGDOM,,,,,,,
17021,MANNER,CHINA,OTHER,2015,4510000000,20940000000,30000,,JONAS PRISING
17022,MANNESMANN,D SSELDORF,DIVERSIFIED INDUSTRIALS,1890,,,,,
17023,MANNING S,,PHARMACY DRUGSTORE,,,,,,
17024,MANOHAR FILAMENTS,INDIA,FASHION TEXTILE,1986,,,,,
17025,MANOLETE PARTNERS,UNITED KINGDOM,FICIAL SERVICES,2011,,12,7,HTTPS://WWW.MANOLETE-PARTNERS.COM,MR STEVEN COOKLIN A C A
17026,MANPASAND BEVERAGES,INDIA,BEVERAGE,1998,,,,,
17027,MANPOWER SRL,ITALY,SERVICES,1996,,,,,
17028,MANSPARINVESTO 11178899,,,,,,,,
17029,MANSUKH SECURITIES FINANCE,INDIA,FICIAL SERVICES,1988,,,,,
17030,MANSUTTI,ITALY,INSURANCE,1987,,22,48,HTTP://WWW.MANSUTTI.IT/,
17031,MANTECH INTERNATIONAL CORPORATION,USA,FICIALS,1887,3023000000,2553000000,9800,HTTPS://WWW.MANULIFE.COM/,MR ROCCO GORI
17032,MANTRA PROPERTIES,INDIA,REAL ESTATE,2002,,,,,
17033,MANTRA SOFTECH,INDIA,IT SERVICES CONSULTING,2006,,,,,
17034,MANUFACTURASPACEO 16349874,HARJU MAAKOND TALLINN KESKLINNA LINNAOSA J E TN,COMPUTER PROGRAMMING ACTIVITIES,,,,,,
17035,MANUFACTURING INTEGRATION TECHNOLOGY LTD,SINGAPORE,,,,,99,,MR CHIN HONG LIM
17036,MANUFATURA DE BRINQUEDOS ESTRELA SA,BRAZIL,,,,,,,
17037,MANULIFE,CANADA,BANKING AND FICIAL SERVICES,1887,34420000000,47200000000,38000,,ROY GORI
17038,MANULIFE FINANCIAL,,,,35520000000,16450000000,380,,
17039,MANUTAN INTERNATIONAL SA,FRANCE,,,,,2200,,MR XAVIER GUICHARD
17040,MANYA EDUCATION,INDIA,EDUCATION TRAINING,2002,,,,,
17041,MANYDEV STUDIO,POLAND,VIDEO GAMES ENTERTAINMENT,,5070000,,,,
17042,MANYPETS,UNITED KINGDOM,FINTECH,2012,,,,,
17043,MANZ AG,GERMANY,,,,,1382,,MR MARTIN DRASCH
17044,MAOYAN ENTERTAINMENT,CHINA,,,1567000000,,,HTTPS://IR.MAOYAN.COM/,
17045,MAP SYSTEMS,INDIA,IT SERVICES CONSULTING,1993,,,,,
17046,MAPAL FABRIK F R PR ZISIONSWERKZEUGE DR KRE KG,AALEN,INDUSTRIAL MANUFACTURING,1950,,730,5133,WWW.MAPAL.COM,
17047,MAPBOX CAREERS,SAN FRANCISCO,INTERNET,2011,,,350,WWW.MAPBOX.COM,
17048,MAPEI,MILAN,BUILDING MATERIALS FIXTURES,1937,3000000000,2,16,HTTP://WWW.BASIPERPIZZA.IT/,MR MAURIZIO PONTREMOLI
17049,MAPEI SPA,ITALY,MANUFACTURING,1961,,,,,
17050,MAPFRE,SPAIN,FICIAL SERVICES INSURANCE,1933,6150000000,23480000000,33730,HTTPS://WWW.MAPFRE.ES,ANTONIO HUERTAS MEJ AS
17051,MAPLE DIGITAL TECHNOLOGY,INDIA,RETAIL,2009,,,,,
17052,MAPLE GOLD MINES LTD,CANADA,FOOD,1927,2180000000,3476000,,HTTPS://WWW.MAPLELEAFFOODS.COM/,MR B MATTHEW HORNOR
17053,MAPLE LEAF FOODS INC,CANADA,,,,,13500,,MR MICHAEL H MCCAIN B B A O C
17054,MAPLEBEAR INC,UNITED STATES,,,,,,,
17055,MAPLETREE COMMERCIAL TRUST,SINGAPORE,REAL ESTATE INVESTMENT REIT,2005,6570000000,341000000,253,HTTPS://WWW.MAPLETREECOMMERCIALTRUST.COM/,MS PEI PEI CHOW
17056,MAPMYINDIA,INDIA,TECH SOFTWARE,,700000000,,,,
17057,MAPRO FOODS,INDIA,FMCG,1959,,,,,
17058,MAQ SOFTWARE,UNITED STATES,IT SERVICES CONSULTING,2000,18930000,,,,
17059,MARAMPA GROUP LIMITED,UNITED KINGDOM,,,,,,,
17060,MARATHON DIGITAL HOLDINGS,USA,BITCOIN TECH BITCOIN MINING,1887,980000000,5486000,1531,HTTPS://WWW.MARATHONOIL.COM/,LEE M TILLMAN
17061,MARATHON ELECTRIC INDIA,UNITED STATES,SEMICONDUCTORS,1913,,5600000000,1531,,MR LEE M TILLMAN
17062,MARATHON GOLD,CANADA,MINING GOLD MINING,1887,310000000,7660000000,14,HTTP://WWW.MARATHONPETROLEUM.COM/,MR MATTHEW L MANSON
17063,MARATHON OIL CORPORATION,UNITED STATES,ENERGY,1887,19540000000,560000000,1531,,MR LEE M TILLMAN
17064,MARATHON PETROLEUM CAREERS,FINDLAY,OIL ENERGY,1887,37826000000,120920000,5000,WWW.MARATHONPETROLEUM.COM,JOHN P SURMA NON EXECUTIVE CHAIRMAN
17065,MARATONE STUDIOS,STOCKHOLM,BROADCASTING ENTERTAINMENT,2001,,,,,
17066,MARAVAI LIFESCIENCES,USA,BIOTECH PHARMACEUTICALS,2020,3580000000,799000000,490,HTTPS://WWW.MARAVAI.COM/,MR CARL W HULL
17067,MARBLE BOX,UNITED STATES,INSURANCE,2002,,,,,
17068,MARC ENTERPRISES,INDIA,ELECTRONICS MANUFACTURING,1981,,,,,
17069,MARC LABORATORIES,INDIA,HEALTHCARE,1986,,,,,
17070,MARCEGAGLIA HOLDING SPA,ITALY,MANUFACTURING,2015,,6,2,HTTPS://WWW.MPFOODEX.IT,
17071,MARCHE RETAIL,INDIA,RETAIL,2005,,,,,
17072,MARCUS LUTZ BAU,GERMANY,CONSTRUCTION,2002,,1874438,15,HTTPS://WWW.SPEZIALRUECKBAU.DE/,
17073,MARDRUK OPAKOWANIA,POLAND,INDUSTRIAL GOODS,2015,,3226645,47,HTTPS://MARDRUKOPAKOWANIA.PL/,
17074,MARE GIOIOSO S R L DI SEBASTIANO,ITALY,ALIMENTARI BEVANDE,,,,43748,,
17075,MARE NOSTRUM SAS,FRANCE,,,,,402,,MR THIERRY DE VIGNEMONT
17076,MARELLI EUROPE SPA,ITALY,MANUFACTURING,1919,,,,,
17077,MARELLI MOTHERSON AUTOMOTIVE LIGHTING,,,,,,,,
17078,MARFEEL SOLUTIONS,SPAIN,ADVERTISING,2011,,7,73,HTTPS://WWW.MARFEEL.COM,
17079,MARFIN INVESTMENT GROUP,NEA ERYTHRAIA,,1998,,,,,
17080,MARFREIGHT,ITALY,TRANSPORT,2014,,2,2,HTTPS://WWW.MARFREIGHT.COM,
17081,MARFRIG GLOBAL FOODS,BRAZIL,FOOD DRINK TOBACCO,1986,2595000000,16799000000,31779,HTTPS://WWW.MARFRIG.COM.BR/EN,MIGUEL DE SOUZA GULARTE
17082,MARG ERP,INDIA,ACCOUNTING AUDITING,2000,7920000000,1183000,1631,HTTP://MARICO.COM/,
17083,MARGADARSI CHIT FUND,INDIA,FICIAL SERVICES,1962,,,,,
17084,MARIANEESPAEVO 12966720,,,,,,,,
17085,MARICO,INDIA,FMCG,1990,7920000000,1230000000,1657,,
17086,MARIESPAO 16017824,P LVA MAAKOND P LVA VALD MOOSTE ALEVIK J RVEOTSA TEE,BED AND BREAKFAST,,,,,,
17087,MARIMACA COPPER CORP,CHILE,,,,,20,,MR HAYDEN THOMAS LOCKE
17088,MARIMED,USA,CANNABIS,1998,130000000,2063000,2666,HTTPS://WWW.MARINEMAX.COM/,MS TIINA ALAHUHTA KASKO M SC CEMS MIM
17089,MARINA MONFALCONE SRL,ITALY,,,,,,,
17090,MARINE ELECTRICALS,INDIA,ELECTRICAL EQUIPMENT,1978,,,,,
17091,MARINEMAX,,,,710000000,2300000000,2666,,
17092,MARINETRAFFIC,ATHENS,SOFTWARE,2007,,,,,
17093,MARINUS PHARMACEUTICALS,USA,PHARMACEUTICALS BIOTECH,1930,260000000,12846000000,20300,HTTP://WWW.MARKELCORP.COM/,THOMAS S GAYNER
17094,MARISA LOJAS SA,BRAZIL,,,,,,,MR MARCELO RIBEIRO PIMENTEL
17095,MARISTECH OU,ESTONIA,,,,,,,
17096,MARITIMA FERRIES,MARSEILLE,MARINE TRANSPORTATION,1969,,,,,
17097,MARK EXHAUST SYSTEMS,INDIA,AUTO COMPONENTS,1993,,,,,
17098,MARK MILLER SUBARU SOUTH TOWNE LLC,UNITED STATES,,,,,,,
17099,MARK S,CANADA,TELECOM,1977,19360000000,12840000000,20300,HTTPS://WWW.MARKETAXESS.COM/,RICHARD R WHITT III THOMAS S GAYNER
17100,MARK SIMONSON,,AMPLIFICATION MUSICAL INSTRUMENT MANUFACTURING,1962,,,,,
17101,MARK TECHNIK VERLAG,GERMANY,MEDIA,2014,,3,10,HTTPS://WWW.MUT.DE,
17102,MARKA YATIRIM HOLDING A S,TURKEY,,,,,63,,
17103,MARKEDSPACE EUO 14875908,HARJU MAAKOND KUUSALU VALD PUDISOO K LA M NNIM E,BUSINESS AND OTHER MANAGEMENT CONSULTANCY ACTIVITIES,,,,,,
17104,MARKEL CAPITAL HOLDINGS LIMITED,UNITED KINGDOM,ADVERTISING,2012,3620000000,3,21,HTTP://WWW.AGENCY2.CO.UK/,
17105,MARKEL CAREERS,GLEN ALLEN,INSURANCE,1930,20300000000,,3000,WWW.MARKEL.COM,MR THOMAS SINNICKSON GAYNER
17106,MARKEL CORPORATION,UNITED STATES,FICIALS,1930,20300000000,,20300,,MR THOMAS SINNICKSON GAYNER
17107,MARKET KURLY,SOUTH KOREA,ECOMMERCE,2014,,369,358,HTTPS://WWW.KURLY.COM/,
17108,MARKET SOLUTIONS SVERIGE,SWEDEN,ADVERTISING,2012,,3566504,8,HTTPS://MARKETSOLUTIONS.SE,
17109,MARKET XCEL DATA MATRIX,INDIA,MANAGEMENT CONSULTING,2000,,,,,
17110,MARKETAXESS,USA,FICIAL SERVICES,,12380000000,700000000,7320,,
17111,MARKETECH INTERNATIONAL,TAIWAN,TRAVEL LEISURE,1927,779000000,1139000,97000,HTTPS://WWW.MICB2B.COM/EN/,MS HSIN MING SUNG KAO
17112,MARKETERS COMPANY,ITALY,ADVERTISING,2016,,1880460,8,,
17113,MARKETSPACEFOUNDATIONO 14388781,HARJU MAAKOND TALLINN LASNAM E LINNAOSA V IKE PAALA TN,OTHER PERSONAL SERVICE ACTIVITIES N E C,,,,,,
17114,MARKFORGED,USA,D PRINTING TECH,2001,190000000,91000000,374,HTTPS://MARKFORGED.COM/,
17115,MARKIT EESTI AS,ESTONIA,,,,,,,
17116,MARKO KASPART RK 10720132,P RNU MAAKOND KIHNU VALD S RE K LA L HISTE,MARINE FISHING,,,,,,
17117,MARKOR INTERNATIONAL HOME FURNISHINGS,CHINA,,,823000000,,,HTTP://WWW.MARKOR.COM.CN/,
17118,MARKS AND SPENCER GROUP,UK,CONSUMER CYCLICAL,1884,6830000000,12821000000,69577,HTTPS://WWW.MARKSANDSPENCER.COM/,MR STEVE ROWE
17119,MARKSANS PHARMA,INDIA,PHARMACEUTICALS,1992,300000000,,,,
17120,MARKSPACEO 14515825,,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES,,,,,,
17121,MARLABS,UNITED STATES USA,IT SERVICES CONSULTING,1996,,,,,
17122,MARLBORO,,CIGARETTE,,,,,,
17123,MARLBOROUGH WINE ESTATES GROUP LTD,NEW ZEALAND,,,,,,,
17124,MARLETTE FUNDING LLC,UNITED STATES,,,,,,,
17125,MARLEY SPOON AG,GERMANY,,,,,1862,,MR GILBERT FABIAN SIEGEL
17126,MARLIN BUSINESS SERVICES CORP,UNITED STATES,HOSPITALITY,1927,,13860000000,,,
17127,MARLIN GREEN,UNITED KINGDOM,SUPPORT SERVICES,2010,,30,39,HTTPS://WWW.MARLINGREEN.COM/,MR ALEX DACRE
17128,MARMARIS ALTINYUNUS TURISTIK TESISLER ANONIM SIRKETI,TURKEY,,,,,4,,
17129,MARNI,MILAN,CLOTHING ACCESSORIES,1994,17980000,1456000,696,HTTPS://WWW.MARR.IT/,BILL MARRIOTT
17130,MARPOSS SPA,ITALY,,,,,718,,MR FRANCESCO OSPITALI
17131,MARPU FOUNDATION,,NON PROFIT,,,,,,
17132,MARQETA,USA,FICIAL SERVICES TECH,1927,3670000000,13857000,,,BILL MARRIOTT
17133,MARQUARD BAHLS AG,HAMBURG,ENERGY AND UTILITIES,1947,,14898,7561,WWW.MBHOLDING.DE,
17134,MARQUARDT,GERMANY,AUTO COMPONENTS,1996,,1488,11226,WWW.MARQUARDT.DE,
17135,MARQUE IMPEX,INDIA,IMPORT EXPORT,1996,,,,,
17136,MARQUIS TECHNOLOGIES,INDIA,IT SERVICES CONSULTING,2009,30800000000,4460000000,6729,HTTPS://WWW.MARVELL.COM/,MATTHEW J MURPHY
17137,MARRIOTT,,HOTEL,,,,,,
17138,MARRIOTT VACATIONS WORLDWIDE,UNITED STATES,,,5760000000,3250000000,20300,,MR STEPHEN P WEISZ
17139,MARS INTERNATIONAL INDIA,UNITED STATES USA,FOOD PROCESSING,1994,,,16000,,MR FRANK PATRICK D ERAMO
17140,MARSAPET,GERMANY,RETAIL,2015,,3960200,26,HTTPS://WWW.BELLFOR.INFO/,
17141,MARSEGLIA GROUP SPA,ITALY,FICE INSURANCE AND REAL ESTATE,1990,,,,,
17142,MARSH CLEARSIGHT CAREERS,CHICAGO,INFORMATION TECHNOLOGY SERVICES,1967,,,750,WWW.MARSHCLEARSIGHT.COM,
17143,MARSH KINDLUSTUSMAAKLER AS,ESTONIA,,,,,,,
17144,MARSH LIMITED,UNITED KINGDOM,BUILDING MATERIALS,2017,970000000,,3691,,MR DAKSH GUPTA
17145,MARSH MCLENNAN,NEW YORK,INSURANCE,1905,87160000000,20300000000,83000,,DANIEL S GLASER
17146,MARSH MCLENNAN COMPANIES,USA,INSURANCE PROFESSIONAL SERVICES,1905,86380000000,19820000000,81000,HTTPS://WWW.MMC.COM/,DANIEL S GLASER
17147,MARSH TECH AUTOMOTIVE LTD,CROWTREESFARMTHURVASTONLANE LONGFORD ASHBOURNE ENGLAND DE DU,,,,,,,
17148,MARSHALL AMPLIFICATION,,AMPLIFICATION MUSICAL INSTRUMENT MANUFACTURING,1962,,,,,
17149,MARSHALL BOYA VE VERNIK SANAYII A S,TURKEY,,,,,235,,
17150,MARSHALL ISLANDS MARITIME CORPORATE ADMINISTRATORS INC,UNITED STATES,,,,,,,
17151,MARSHALLS,UK,CONSTRUCTION MATERIALS,1956,2244000000,694000000,,HTTPS://WWW.MARSHALLS.COM/,
17152,MARSILIO ARTE SRL,ITALY,,,,,,,
17153,MARSSENGER KITCHENWARE CO LTD,CHINA,,,3211000000,,1895,HTTPS://WWW.MARSSENGER.COM/,
17154,MARSTON S PLC,UNITED KINGDOM,,1993,,,12380,,MR ANDREW A ANDREA A C A B A M A
17155,MARTELA OYJ,FINLAND,,,,,400,,MR VILLE TAIPALE M SC
17156,MARTELL,,SPIRITS,,,,,,
17157,MARTEN TRANSPORT,USA,TRANSPORTATION,1949,1388000000,973000000,4007,HTTPS://WWW.MARTEN.COM/,C HOWARD NYE
17158,MARTIFER,OLIVEIRA DE FRADES,HEAVY CONSTRUCTION,1990,,,,,
17159,MARTIN BAUER GROUP,VESTENBERGSGREUTH,FOODS AND BEVERAGES,1930,,655,3400,WWW.THE-NATURE-NETWORK.DE,
17160,MARTIN CURRIE GLOBAL PORTFOLIO INVESTMENT TRUST,,,,,,,,
17161,MARTIN MARIETTA,UNITED STATES,BUILDINGMATERIALS,1993,22680000000,6180000000,10000,,C HOWARD NYE
17162,MARTIN MARIETTA MATERIALS INC,RALEIGH,,1993,23940000000,,10000,,MR C HOWARD NYE
17163,MARTIN RETAIL GROUP LLC,UNITED STATES,,,,,,,
17164,MARTINI ROSSI,TURIN,DISTILLERS VINTNERS,1863,,,,,
17165,MARTINO S R L,ITALY,COSTRUZIONI IMPIANTISTICA,,,,972,,
17166,MARUCHAN,JAPAN,INSTANT NOODLES,1973,1190000000,397000000,,HTTPS://WWW.MARUWA-G.COM/E/,
17167,MARUI GROUP,JAPAN,RETAIL,1978,1716000000,1527000,5130,HTTPS://WWW.0101MARUIGROUP.CO.JP/EN/,MR MASARU WASAMI
17168,MARUTI SUZUKI,INDIA,AUTOMOBILE,1983,31440000000,10661000,15945,HTTPS://WWW.MARUTISUZUKI.COM/,KENICHI AYUKAWA
17169,MARUTI TECHLABS,INDIA,TECHNOLOGY,2009,,2,121,HTTPS://MARUTITECH.COM/,
17170,MARVEL REALTORS,INDIA,REAL ESTATE,2001,,,,,
17171,MARVELL SEMICONDUCTOR CAREERS,SANTA CLARA,SEMICONDUCTORS,1995,,,7500,WWW.MARVELL.COM,
17172,MARVELOUS,JAPAN,VIDEO GAMES ENTERTAINMENT TECH,,310000000,,,,
17173,MARWADI SHARES FINANCE,,FICIAL SERVICES,1992,,,,,
17174,MARWADI UNIVERSITY,INDIA,EDUCATION TRAINING,2016,,,,,
17175,MARWINCAR,ITALY,AUTOMOBILES,2016,,3908465,3,HTTPS://WWW.MARWINCAR.COM,
17176,MARWYN VALUE INVESTORS LTD,UNITED KINGDOM,,,,,18,,
17177,MARY CHIA HOLDINGS LTD,SINGAPORE,,1966,,,24000,,MS YOW PING HO
17178,MARZOCCHI,BOLOGNA,RECREATIONAL PRODUCTS,1949,,,,,
17179,MARZOCCHI POMPE S P A,ITALY,,,,,257,,MR GABRIELE BONFIGLIOLI
17180,MARZOTTO,VALDAGNO,CLOTHING ACCESSORIES,1836,,,,,
17181,MAS CALLNET,INDIA,BPO,1990,,,,,
17182,MAS FINANCIAL SERVICES,INDIA,NBFC,1995,,,,,
17183,MAS REAL ESTATE,ISLE OF MAN,REAL ESTATE,,929000000,8375000,20000,HTTPS://MASREI.COM/,MR MARTIN SLABBERT L L B
17184,MASAI SCHOOL,INDIA,EDTECH,2019,,,,,
17185,MASCHINENFABRIK BERTHOLD HERMLE AG,GERMANY,,1938,1392000000,375000000,1300,HTTPS://WWW.HERMLEUSA.NET/EN/HOME_EN,
17186,MASCHIO GASPARDO,INDIA,INDUSTRIAL MACHINERY,1964,,,,,
17187,MASCO,USA,CONSTRUCTION,1929,11300000000,8770000000,20000,HTTP://WWW.MASIMO.COM/,KEITH J ALLMAN
17188,MASCO CORPORATION,UNITED STATES,ARTIFICIAL INTELLIGENCE,2014,,,20000,,MR KEITH J ALLMAN
17189,MASERATI,MODENA,AUTOMOBILES,1914,358600000000,18880000,699000,HTTPS://WWW.MASTERCARD.COM/,MICHAEL MIEBACH
17190,MASHREQ BANK,UNITED ARAB EMIRATES,BANKING,1967,500000000,2500000000,5000,HTTPS://WWW.MATERIALISE.COM/,AHMED MOHAMMED ABDELAAL
17191,MASISA SA,CHILE,,,,,32,,MR MATHIEU LION
17192,MASK INVESTMENTS LTD,INDIA,HOSPITALITY,2012,,,3,,
17193,MASLAVI CONSTRUCTION COMPANY LTD,ISRAEL,,,,,36,,
17194,MASON ADVISORY,UNITED KINGDOM,MANAGEMENT CONSULTING,2014,,12,32,HTTPS://WWW.MASONADVISORY.COM,
17195,MASON GRAPHITE INC,CANADA,,,,,,,MR JEAN L HEUREUX
17196,MASONITE,USA,ENGINEERING,1925,1930000000,2850000000,10300,HTTPS://WWW.MASONITE.COM,
17197,MASOUTIS,THESSALONIKI,FOOD RETAILERS,1976,,,,,
17198,MASPEX,WADOWICE,FOOD CONCERN,1990,7050000000,8570000000,30000,HTTPS://WWW.MASTEK.COM/,
17199,MASRAF AL RAYAN,QATAR,BANKING,2006,12712000000,1140000000,,HTTPS://WWW.ALRAYAN.COM/,
17200,MASSIMO ZANETTI BEVERAGE GROUP,BOLOGNA,BEVERAGES,1973,,,,,
17201,MASSIVE ENTERTAINMENT,MALM,SOFTWARE,1997,,,,,
17202,MAST J GERMEISTER,WOLFENB TTEL,DISTILLERS VINTNERS,1878,,699,1000,WWW.JAEGERMEISTER.DE,
17203,MASTEC INC,UNITED STATES,IT SERVICES CONSULTING,1966,358600000000,18880000000,27000,,MR JOSE RAMON MAS
17204,MASTEK CAREERS,READING,INFORMATION TECHNOLOGY SERVICES,1982,,,3000,WWW.MASTEK.COM,
17205,MASTER AD PUBLIC COMPANY LTD,THAILAND,,,,,,,MR CHIONG KIT PHOON
17206,MASTERFLEX SE,GERMANY,,,,,556,,DR ANDREAS BASTIN
17207,MASTERMYNE GROUP LIMITED,AUSTRALIA,,,,,,,MR ANTHONY SALVATORE CARUSO
17208,MASTERSOFT ERP SOLUTIONS,INDIA,IT SERVICES CONSULTING,1995,,,,,
17209,MASU BRAKES,INDIA,AUTO COMPONENTS,1982,,,,,
17210,MATADOR,P CHOV,TIRES,1947,,,,,
