name,country,sector,founded,marketcap,revenue,employees,links,ceo
3H BIOMEDICAL,UPPSALA,BIOTECHNOLOGY,2004.0,,,,,
3I,LONDON,CORPORATE FINANCE,1945.0,,,,,
3I GROUP,UK,DIVERSIFIED FINANCIALS,1945.0,47296000000.0,4882000000.0,282.0,HTTPS://WWW.3I.COM/,SIMON A BORROWS
3I INFOTECH, INDIA,IT SERVICES & CONSULTING,1993.0,83210000.0,,,,
3I INFRASTRUCTURE PLC,,,,,,,,
3KLES CONSULTING,FRANCE,SUPPORT SERVICES,2012.0,,4.0,25.0,HTTPS://WWW.3KLES-CONSULTING.COM,
3LHD,ZAGREB,BUSINESS SUPPORT SERVICES,1994.0,,,,,
3M,USA,"['DOWJONES', 'GLOVESPPE']",1902.0,66680000000.0,34760000000.0,95000.0,,MICHAEL F. ROMAN
3M INDIA,INDIA,GLOVE-PPE ,,3130000000.0,,,,
3P LEARNING LIMITED,AUSTRALIA,,,,,350.0,,"DR. ANDREAS  FOURAS M.A.I.C.D., PH.D."
3P LOGISTICS OU,ESTONIA,,,,,,,
3PEAK INCORPORATED,CHINA,ARTIFICIAL INTELLIGENCE,2012.0,6963000000.0,193000000.0,395.0,HTTP://WWW.3PEAKIC.COM.CN/,MR. ZHIXU  ZHOU
3PILLAR GLOBAL, INDIA,IT SERVICES & CONSULTING,2006.0,,,,,
3R PETROLEUM,BRAZIL,OIL-GAS ENERGY ,,1290000000.0,,,,MR. RICARDO RODRIGUES SAVINI
3SBIO,CHINA,PHARMACEUTICALS BIOTECH ,,2844000000.0,929000000.0,5292.0,HTTPS://WWW.3SBIO.COM/EN/,DR. JING  LOU
3SCALE,BARCELONA[3],SOFTWARE,2007.0,,,,,
42MARU,SOUTH KOREA,TECHNOLOGY,2015.0,,2.0,65.0,HTTPS://WWW.42MARU.AI/,
4AIM SICAF S.P.A.,ITALY,COSTRUZIONI & IMPIANTISTICA,,,,3.0,,MR. GIOVANNI  NATALI
4D MOLECULAR THERAPEUTICS,USA,PHARMACEUTICALS BIOTECH ,,710000000.0,,,,
4D PHARMA PLC,UNITED KINGDOM,,,,,92.0,,MR. DUNCAN JOSEPH PEYTON
4E TV,THESSALONIKI,MEDIA,1994.0,,,,,
4F,WIELICZKA,TEXTILE,2007.0,,,,,
4I APPS SOLUTIONS, INDIA,IT SERVICES & CONSULTING,2008.0,,,,,
4IMPRINT GROUP,UK,,,1128000000.0,787000000.0,,HTTPS://INVESTORS.4IMPRINT.COM/,
4MOST GROUP HOLDINGS,UNITED KINGDOM,INSURANCE,2011.0,,22.0,120.0,HTTPS://WWW.4-MOST.CO.UK,
4SC AG,GERMANY,,,,,33.0,,
4STREETS BUILDING INNOVATION TUNNELS BRIDGES ROADS,ITALY,CONSTRUCTION,2016.0,,6739630.0,46.0,HTTPS://WWW.4STREETS.IT/,
4WARD SRL,ITALY,CYBER SECURITY,2012.0,,5.0,16.0,HTTPS://WWW.7LAYERS.IT/,
"5.11, INC.",UNITED STATES,,,,,8431.0,,MR. RICK  YAN
507,SLOVENIA,INTERIORS,2004.0,,5.0,16.0,HTTP://507.EU/,
50FACTORY,FRANCE,AUTOMOBILES,2010.0,,3.0,18.0,HTTPS://WWW.50FACTORY.COM,
50NRTH,GERMANY,PERSONAL & HOUSEHOLD GOODS,2004.0,,10.0,14.0,HTTPS://WWW.50NRTH.COM,
51JOB,CHINA,,,5179000000.0,0.0,8650.0,HTTPS://IR.51JOB.COM,
566,,SHAMPOO,,,,,,
56PINGTAI,CHINA,"SUPPLY CHAIN, LOGISTICS, & DELIVERY",,,,,,
58 DAOJIA,CHINA,INTERNET SOFTWARE & SERVICES,2014.0,,,,,
5G NETWORKS LIMITED,AUSTRALIA,,,,,10.0,,
5IRE,UNITED KINGDOM,INTERNET SOFTWARE & SERVICES,2021.0,,,,,
5M SERVICES,FRANCE,CONSTRUCTION,2013.0,,2.0,17.0,HTTPS://WWW.5M-SERVICES.COM,
5MINDS IT-SOLUTIONS,GERMANY,SUPPORT SERVICES,2009.0,,3.0,38.0,HTTPS://WWW.5MINDS.DE,
5N PLUS INC.,CANADA,,,,,138.0,,MR. GERVAIS  JACQUES
5PAISA CAPITAL, INDIA,FINANCIAL SERVICES,2015.0,,,,,
5TH PLANET GAMES,DENMARK,VIDEO-GAMES ENTERTAINMENT ,,43820000.0,,20.0,,
"6 RIVER SYSTEMS, INC. CAREERS",WALTHAM,LOGISTICS & SUPPLY CHAIN,2015.0,,,350.0,6RIVER.COM,
63 MOONS TECHNOLOGIES, INDIA,SOFTWARE PRODUCT,1988.0,,,,,
6POINT6,UNITED KINGDOM,TECHNOLOGY,2012.0,,17.0,38.0,HTTPS://WWW.6POINT6.CO.UK,
6SENSE,UNITED STATES,ARTIFICIAL INTELLIGENCE,2013.0,,,,,
6SENSE CAREERS,SAN FRANCISCO,INFORMATION TECHNOLOGY & SERVICES,2013.0,,,125.0,WWW.6SENSE.COM,
7-ELEVEN,JAPAN,RETAIL (CONVENIENCE STORES),1927.0,41020000000.0,,,,
7-UP,,CARBONATED SOFT DRINK,,,,,,
77,,CHOCOLATE,,,,,,
77 BANK,JAPAN,BANKING,1878.0,,967000000.0,2812.0,,HIDEFUMI KOBAYASHI
77AGENCY LIMITED,UNITED KINGDOM,,,,,,,
7C SOLARPARKEN AG,GERMANY,,,,,27.0,,MR. STEVEN  DE PROOST
7ROAD,CHINA,VIDEO-GAMES ENTERTAINMENT ,,860000000.0,,,,
7SEARCH PPC, UNITED STATES (USA),MARKETING & ADVERTISING,2014.0,,,,,
84CODES,SWEDEN,TECHNOLOGY,2012.0,,4.0,8.0,HTTPS://WWW.84CODES.COM/,
85C BAKERY CAFE,TAIPEI,FOOD AND BEVERAGE,2004.0,,,,,
85°C,,COFFEE SHOP,,,,,,
888 HOLDINGS,GIBRALTER,,1997.0,1474000000.0,589000000.0,,,
89GRAD,SWITZERLAND,TECHNOLOGY,2010.0,,2.0,31.0,HTTPS://WWW.89GRAD.CH,
89UP,UK,ADVERTISING,2009.0,,1814237.0,26.0,HTTPS://89UP.ORG/,
8BITSSPACEOÃŒ(14867109),                        HARJU MAAKOND TALLINN LASNAMÃ¤E LINNAOSA SEPAPAJA TN 6 15551                            ,COMPUTER PROGRAMMING ACTIVITIES,,,,,,
8I HOLDINGS LIMITED,SINGAPORE,,,,,,,MR. KUAN TAT  CHEE
8X8,USA,,1987.0,490000000.0,638000000.0,2216.0,HTTPS://WWW.8X8.COM,
9 SPOKES INTERNATIONAL LIMITED,NEW ZEALAND,,,,,,,MR. ADRIAN DAVID GRANT
908 DEVICES,USA,MEDICAL-DEVICES ,,280000000.0,,,,
"91APP, INC.",TAIWAN,,,1113000000.0,,,HTTPS://WWW.91APP.COM/,
94.3 MY FM, INDIA,BROADCASTING,2006.0,,,,,
99 SPEEDMART,,CONVENIENCE STORE,,,,,,
99ACRES, INDIA,INTERNET,2005.0,,,,,
9SPLAY,TAIWAN,GAMES INDUSTRY,2013.0,,60.0,,HTTP://WWW.9SPLAY.COM.TW/,
9Y,AUSTRIA,TECHNOLOGY,2015.0,,1836182.0,18.0,HTTPS://9Y.CO,
?I?ECAM,TURKEY,,,7230000000.0,,,,
?SDEMIR,TURKEY,,,5300000000.0,,,,
@HEALTH SACA,FRANCE,,,,,,,MR. JEAN-PASCAL  PEYRET
@HOME, INDIA,FURNITURE & FURNISHING,2005.0,,,,,
A  +  A LTD,46BROOKBANKCLOSE CHELTENHAM ENGLAND GL503NB,,,,,,,
A  A  BALL  SERVICES LIMITED,9CADGWITHDRIVE DERBY ENGLAND DE222AF,,,,,,,
A  ALMUHAIMEEF LTD,53HARROWBYSTREET LONDON ENGLAND W1H5EQ,,,,,,,
A & A ACCOUNTANTS LIMITED,10GOSSOPSGREENLANE CRAWLEY WESTSUSSEX ENGLAND RH118BJ,,,,,,,
A & A AGRICULTURAL CONTRACTORS AND PLANT HIRE LTD,MOBILEHOME WELLCOMMONYARD TODBER DORSET UNITEDKINGDOM DT101JB,,,,,,,
A & A AND SONS ROOFING LTD,15YORKGATE SOUTHGATE 15YORKGATE SOUTHGATE LONDON ENGLAND N146HS,,,,,,,
A & A APPLIANCE CARE LIMITED,14CHURCHROAD SHIRLEY SOLIHULL ENGLAND B902AX,,,,,,,
A & A AQUATICS LTD,79HIGHSTREET MOXLEY WEDNESBURY UNITEDKINGDOM WS108RT,,,,,,,
A & A ASSET MANAGEMENT LTD,4AVONDALEROAD STRETFORD MANCHESTER ENGLAND M320GB,,,,,,,
A & A AUTO ELECTRICAL LTD,70NEWROAD SKEWEN NEATH WALES SA106HA,,,,,,,
A & A BANERJEE LTD,25BROOKLANDSDRIVE PERIVALE GREENFORD ENGLAND UB67AU,,,,,,,
A & A BARR,BINE KIRKCOLM STRANRAER,,,,,,,
A & A BEAUTY TRAINING LTD,6THFLOORGORDONCHAMBERS 90MITCHELLSTREET GLASGOW SCOTLAND G13NQ,,,,,,,
A & A BIRD HOLDINGS LTD,HATS 162HUCCLECOTEROAD GLOUCESTER GLOUCESTERSHIRE UNITEDKINGDOM GL33SH,,,,,,,
A & A BUILDING SURVEYORS LIMITED,CHURCHHOUSECHURCHLANE GLASTON OAKHAM RUTLAND LE159BN,,,,,,,
A & AA PROPERTY LTD,48PARKAVENUE BROMLEY ENGLAND BR14EE,,,,,,,
A & FN OVERSEAS HOLDINGS LIMITED,KALLISAKKA3 AGIOSANTONIOS NICOSIA CYPRUS 1071,,,,,,,
A & P (ESTATES & INVESTMENTS) LIMITED,67WESTOWSTREET UPPERNORWOOD LONDON ENGLAND SE193RW,,,,,,,
